handle,title,collection_tier,scent_family_detailed,platform_type,platform_material,visual_world,visual_world_week,dip_layer_moral,color_palette_hex_codes,lighting_spec,lighting_direction,depth_of_field,composition_style,aspect_ratio_primary,shadow_treatment,image_type_primary,archetype_hero_enabled,archetype_flatlay_enabled,archetype_lived_enabled,archetype_travel_enabled,archetype_environmental_enabled,archetype_ritual_enabled,hero_primary_artifacts,hero_artifact_placement,flatlay_ingredients,lived_life_context,travel_context,environmental_location,ritual_skin_tone,textile_backdrop,moral_philosophy,philosophy_keywords,semantic_categories,approved_descriptors,primary_avatar,avatar_motivation,use_case_primary,occasion_tags,transparency_statement,craftsmanship_term,ingredient_disclosure,notes_top,notes_middle,notes_base,longevity_hours,sillage_description,prompt_template_id,use_case_templates
honey-oudh,Honey Oudh,humanities,warm_gourmand_woody,humanities_warm_platform,weathered_sandstone_beige_terracotta_veining,desert_sands,1,conscious_custodianship,"sandstone_beige_D8C8A9, terracotta_C7522A, amber_gold_D4AF37, deep_charcoal_2F2A26",chiaroscuro_golden_hour_3500K,upper_left_45_degrees,f2.8,centered_hero_30pct_negative_space,1:1_square,deep_warm_dramatic,studio_editorial_packshot,YES,YES,YES,YES,NO,YES,"brass_singing_bowl, amber_resin_chunks",left_foreground,"amber_resin_chunks, vanilla_beans_weathered, honeycomb_fragments, oud_chips_dark, brass_mortar_with_spices",evening_ritual_desert_villa_terrace,vintage_leather_bag_desert_journey,spice_market_souk_carved_stall,warm_medium_brown_A67C52,raw_linen_sand_color_D8C8A9,conscious_custodianship,"trust-based, principled, handcrafted, moral, intentional, dignified","2,6,12,14","sun-warmed, amber-toned, resinous, ancient-earth, trust-based, golden-hour, honeyed, heat-soaked",elias_aesthete,story_emotion_complexity,"evening_sophistication, fall_winter_warmth, signature_scent","date_night, special_occasion, cold_weather",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Honey, Bergamot","Agarwood (Oud), Sumatran Patchouli","Agarwood (Oud), Amber, Leather, Madagascar Vanilla, Labdanum, Musk",8-10,"Grounded Presence, noticed in embrace not across room",humanities_warm_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, email_header_banner"
turkish-rose,Turkish Rose,humanities,floral_bright_woody,humanities_floral_platform,smooth_garden_sandstone_pink_deposits,floral_highlands,3,truth_integrity,"sandstone_beige_D8C8A9, petal_pink_E8C4D4, garden_stone_B8B8AA, leaf_green_7C9A6D",soft_directional_morning_4200K,upper_right_diffused,f2.0,rule_of_thirds_off_center,4:5_mobile_vertical,gentle_natural_soft,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"fresh_rose_petals_turkish_deep_red, clay_pot_shard_botanical, brass_gardening_dibber",scattered_organic_right,"turkish_rose_petals_fresh, jasmine_blooms_white, garden_stone_fragments, rose_stems_natural",morning_garden_ritual_outdoor_table,none,none,warm_olive_beige_D4B896,soft_green_linen_7C9A6D,truth_integrity,"transparent, honest, provenance, documented, authentic, sincere","3,5,10,14","petal-soft, nectar-sweet, blooms, opens, distilled, pure-form, trust-based, garden-hidden",emily_essentialist,quality_provenance_minimalism,"daily_elegance, spring_summer_fresh, meditation_ritual","morning_ritual, self_care, botanical_appreciation",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Turkish Rose, Green Notes","Rose Absolute, Woody Undertones","White Musk, Cedar",6-8,"Intimate sillage, bright and uplifting",humanities_floral_master,"mobile_hero_vertical, product_page_clean, instagram_stories_vertical"
del-mare,Del Mare,humanities,fresh_marine_citrus,humanities_fresh_platform,smooth_concrete_limestone_cool_gray,mediterranean_waters,2,grounded_presence,"weathered_driftwood_A8A19C, sea_blue_4A7C8F, linen_white_F5F5F0, stone_gray_7A7A7A",coastal_morning_5000K,soft_top_frontal,f4.0,centered_hero_clean_modern,4:5_mobile_vertical,soft_minimal_clean,studio_editorial_packshot,YES,YES,YES,YES,YES,NO,"brass_compass_oxidized_green, blue_calcite_tile_accent",right_side_geometric,"seaweed_dried, lemon_peel_fresh, bergamot_slices, sea_salt_crystals, driftwood_small_piece",morning_cafe_coastal_town_window,sailing_journey_boat_deck,mediterranean_villa_terrace_sea_view,none,weathered_sailcloth_off_white,grounded_presence,"grounded, centered, anchored, body-warm, intimate, present, breath-near, rooted","4,7,12,13","crisp, saline, sea-spray, tide-washed, salt-crusted, centered, rooted, whisper-close, harbor-side",conscious_custodian_both,integrity_alignment_truth,"spring_summer_fresh, professional_setting, daily_elegance","travel, summer, coastal_living, clean_fresh",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Bergamot, Lemon","Seaweed, Calone, Hedione","Ambrox, Cedar, Musk",24+,"Grounded Presence, oceanic and clean",humanities_fresh_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, homepage_hero_desktop"
oud-fire,Oudh Fire,humanities,woody_smoky_resinous,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,quiet_rebellion,"stone_gray_7A7A7A, forest_green_4A5D4A, weathered_wood_8B7D6B, charcoal_2F2A26",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,1:1_square,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,YES,YES,NO,"oud_wood_chips_dark, charred_wood_fragment, stone_mortar_rough",left_foreground_organic,"oud_chips_dark, charred_wood_pieces, pine_cone_cluster, dried_moss_patches, leather_cord_wooden_beads",evening_study_leather_chair_fire,mountain_cabin_adventure_journey,desert_night_campfire_bedouin,deep_warm_brown_8B5A3C,charcoal_wool_felt_2F2A26,quiet_rebellion,"resistance, sovereign, freewill, anti-vanity, self-possessed, uncompromising, reclaimed","8,9,13,14","loamy, mossy, forest-floor, smoke-tinged, charred, bark-rough, grounded, steadfast, reclaimed, primordial",elias_aesthete,story_emotion_complexity,"fall_winter_warmth, evening_sophistication, signature_scent","special_occasion, adventure, masculine_confidence, cold_weather",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Bergamot, Pink Pepper","Patchouli, Violet, Ambergris","Agarwood (Oud), Musk, Vanilla",10-12,"Bold presence, smoky and commanding",humanities_woody_master,"social_square_1x1, product_page_clean, email_header_banner"
white-egyptian-musk,White Egyptian Musk,humanities,warm_clean_minimal,humanities_warm_platform,smooth_sandstone_pale_minimal,desert_sands,1,grounded_presence,"linen_white_F5F5F0, soft_white_musk_FAFAF5, sandstone_pale_EFE6D5, subtle_shadow_D3D3D3",soft_even_bright_4800K,diffused_natural_all_around,f2.8,centered_hero_minimal_clean,1:1_square,soft_minimal_barely_there,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,white_cotton_cloth_folded_simple,none_minimalist,"white_musk_crystals, soft_florals_dried_minimal, cotton_cloth_natural",morning_meditation_simple_space,none,none,golden_tan_C9A87C,white_cotton_handwoven,grounded_presence,"grounded, centered, anchored, intimate, present, whisper-close, body-warm, minimal","4,5,13,14","concentrated, pure-form, centered, rooted, whisper-close, intimate, breath-near, clean, minimal",emily_essentialist,quality_provenance_minimalism,"daily_elegance, meditation_ritual, professional_setting, intimate_moments","self_care, morning_ritual, minimalist_lifestyle, clean_beauty",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,White Musk,Soft Florals,White Musk,6-8,"Intimate sillage, clean and minimalist",humanities_warm_master,"product_page_clean, mobile_hero_vertical, social_square_1x1"
teeb-musk,Teeb Musk,humanities,warm_clean_minimal,humanities_warm_platform,smooth_sandstone_pale_minimal,desert_sands,1,grounded_presence,"linen_white_F5F5F0, soft_white_musk_FAFAF5, petal_pink_E8C4D4, subtle_shadow_D3D3D3",soft_even_bright_4800K,diffused_natural_all_around,f2.0,centered_hero_minimal_clean,4:5_mobile_vertical,soft_minimal_barely_there,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"white_cotton_cloth_folded_simple, fresh_lily_single_stem",right_side_minimal,"white_musk_crystals, dried_lily_petals_soft, soft_florals_minimal, cotton_cloth_natural, rose_quartz_small",morning_meditation_bedside_linen,none,none,warm_olive_beige_D4B896,white_cotton_handwoven,grounded_presence,"grounded, centered, intimate, whisper-close, body-warm, present, minimal, soft","4,5,13,14","whisper-close, breath-near, petal-soft, concentrated, pure-form, centered, rooted, intimate",conscious_custodian_both,integrity_alignment_truth,"daily_elegance, meditation_ritual, professional_setting, intimate_moments","self_care, morning_ritual, minimalist_lifestyle, clean_beauty, everyday_wear",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,Lily,"White Musk, Soft Florals","White Musk, Powdery Notes",6-8,"Intimate sillage, soft and whisper-close",humanities_warm_master,"product_page_clean, mobile_hero_vertical, social_square_1x1, instagram_stories_vertical"
musk-tahara,Musk Tahara,humanities,warm_clean_minimal,humanities_warm_platform,smooth_sandstone_pale_minimal,desert_sands,1,grounded_presence,"linen_white_F5F5F0, soft_white_musk_FAFAF5, sandstone_pale_EFE6D5, sky_blue_hint_E8F4F8",soft_even_bright_4800K,diffused_natural_all_around,f2.8,centered_hero_minimal_clean,1:1_square,soft_minimal_barely_there,studio_editorial_packshot,YES,YES,YES,YES,NO,YES,white_cotton_cloth_folded_simple,none_minimalist,"white_musk_crystals, cotton_cloth_white, clear_quartz_crystal_small, minimal_clean_aesthetic",morning_prayer_meditation_simple_space,minimal_travel_pouch_white_linen,none,golden_tan_C9A87C,white_cotton_handwoven,grounded_presence,"grounded, pure, clean, intimate, fresh, centered, minimal, light","4,5,7,13","whisper-close, breath-near, pure-form, crisp, clean, centered, light, airy",conscious_custodian_both,integrity_alignment_truth,"daily_elegance, meditation_ritual, professional_setting, prayer_ritual","morning_ritual, self_care, prayer, minimalist_lifestyle, clean_beauty, professional",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"White Musk, Fresh Aldehydes","Powdery Florals, Clean Cotton","White Musk, Soft Vanilla",6-8,"Intimate sillage, fresh and airy",humanities_warm_master,"product_page_clean, mobile_hero_vertical, social_square_1x1"
arabian-jasmine,Arabian Jasmine,humanities,floral_bright_woody,humanities_floral_platform,smooth_garden_sandstone_pink_deposits,floral_highlands,3,truth_integrity,"sandstone_beige_D8C8A9, petal_pink_E8C4D4, garden_stone_B8B8AA, jasmine_white_FFFEF0",soft_directional_morning_4200K,upper_right_diffused,f2.0,rule_of_thirds_off_center,4:5_mobile_vertical,gentle_natural_soft,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"fresh_jasmine_blooms_white_scattered, brass_gardening_dibber",scattered_organic_right,"fresh_jasmine_blooms_white, jasmine_absolute_vial_small, garden_stone_fragments, green_leaves_natural, clay_pot_shard",morning_garden_ritual_outdoor_table,none,none,deep_warm_brown_8B5A3C,soft_green_linen_7C9A6D,truth_integrity,"transparent, honest, pure, bright, fresh, botanical, natural, documented","3,5,10,14","blooms, opens, nectar-sweet, petal-soft, jasmine-white, distilled, pure-form, sun-bright",emily_essentialist,quality_provenance_minimalism,"daily_elegance, spring_summer_fresh, special_occasion, feminine_grace","morning_ritual, self_care, botanical_appreciation, spring, floral_lover, feminine",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Arabian Jasmine, Green Stems","Jasmine Absolute, White Florals","Sandalwood, White Musk",8-10,"Intimate sillage, bright and sunny",humanities_floral_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, instagram_stories_vertical"
oud-tobacco,Oud & Tobacco,humanities,woody_oud_leather,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,quiet_rebellion,"stone_gray_7A7A7A, forest_green_4A5D4A, tobacco_brown_8B7355, charcoal_2F2A26",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,1:1_square,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,YES,YES,NO,"oud_wood_chips_dark, tobacco_leaves_dried, leather_cord_aged",left_foreground_organic,"oud_chips_dark, tobacco_leaves_dried, leather_fragments_aged, charred_wood_pieces, brass_mortar_small, stone_pestle",evening_study_leather_chair_bourbon,vintage_leather_bag_merchant_journey,spice_market_souk_tobacco_merchant,none,aged_leather_brown,quiet_rebellion,"sovereign, self-possessed, bold, uncompromising, masculine, resistance, freewill","8,9,13,14","smoke-tinged, bark-rough, tobacco-cured, leather-worn, oud-dark, grounded, steadfast, reclaimed",elias_aesthete,story_emotion_complexity,"evening_sophistication, fall_winter_warmth, signature_scent, masculine_confidence","date_night, special_occasion, cold_weather, masculine_confidence, evening, bold_statement",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Red Sumac, Citruses, Cumin","Oud, Orange Blossom, Incense","Tobacco, Tonka Bean, Oud",10-12,"Bold presence, smoky and commanding",humanities_woody_master,"social_square_1x1, product_page_clean, email_header_banner, mobile_hero_vertical"
peach-memoir,Peach Memoir,humanities,fresh_green_herbal,humanities_fresh_platform,smooth_concrete_limestone_cool_gray,mediterranean_waters,2,grounded_presence,"peach_blush_FFDAB9, weathered_driftwood_A8A19C, linen_white_F5F5F0, soft_coral_FFB6A3",coastal_morning_5000K,soft_top_frontal,f4.0,centered_hero_clean_modern,4:5_mobile_vertical,soft_minimal_clean,studio_editorial_packshot,YES,YES,YES,YES,NO,YES,"dried_peach_slices, brass_compass_oxidized_green",right_side_geometric,"dried_peach_slices, fresh_herbs_basil_mint, bergamot_peel_dried, linen_cloth_cream, sea_glass_frosted_coral",summer_brunch_coastal_cafe_window,sailing_journey_boat_deck,mediterranean_villa_terrace_peach_orchard,warm_medium_brown_A67C52,weathered_sailcloth_off_white,grounded_presence,"fresh, bright, centered, intimate, joyful, present, light, summery","4,7,10,13","crisp, fresh, sun-bright, petal-soft, centered, rooted, breath-near, summery",conscious_custodian_both,integrity_alignment_truth,"spring_summer_fresh, daily_elegance, travel_adventure, feminine_fresh","travel, summer, coastal_living, brunch, daytime, fresh_fruity, feminine",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Peach, Bergamot, Fresh Herbs","Jasmine, Orange Blossom","White Musk, Cedar, Ambrox",8-10,"Intimate sillage, bright and fresh",humanities_fresh_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, instagram_stories_vertical"
